Designator,Mid X,Mid Y,Rotation,Layer
R64,82.67,-66.61,0.0,bottom
R66,92.35,-89.4,0.0,bottom
R68,88.735,-65.1,180.0,bottom
R69,82.67,-65.14,0.0,bottom
R7,102.93,-55.93,270.0,top
R8,73.195,-90.3,180.0,top
R9,84.35,-44.125,270.0,bottom
S1,66.3858,-73.64865,90.0,top
S4,87.2608,-87.91865,90.0,top
S6,93.6158,-87.93865,90.0,top
TP1,112.0,-38.25,0.0,top
TP11,76.83,-50.97,0.0,top
TP12,41.16,-93.97,0.0,top
TP13,101.93,-63.19,0.0,top
TP14,103.39,-36.73,0.0,top
TP15,37.1,-93.97,0.0,top
TP16,99.85,-63.19,0.0,top
TP17,100.85,-36.73,0.0,top
TP18,35.07,-93.97,0.0,top
TP19,117.56,-54.26,0.0,top
TP2,63.5,-44.52,180.0,top
TP20,38.78,-87.01,0.0,top
TP21,98.3,-36.73,0.0,top
TP22,36.76,-87.02,0.0,top
TP23,39.12,-93.97,0.0,top
TP24,40.82,-87.01,0.0,top
TP25,51.68,-83.55,0.0,top
TP26,49.33,-83.55,0.0,top
TP27,106.95,-38.25,0.0,top
TP28,57.425,-64.25,0.0,top
TP29,54.325,-64.25,0.0,top
TP30,118.75,-45.36,0.0,top
TP31,118.8,-42.76,0.0,top
TP32,118.87,-40.22,0.0,top
TP33,44.9,-57.32,0.0,top
TP34,118.87,-37.68,0.0,top
TP35,117.41,-60.59,0.0,top
TP36,117.55,-57.09,0.0,top
TP37,113.77,-66.16,0.0,top
TP38,117.91,-68.02,0.0,top
TP39,36.67,-65.33,0.0,top
TP4,75.04,-45.59,0.0,top
TP40,36.68,-55.97,0.0,top
TP41,44.78,-67.735,0.0,top
TP42,60.42,-67.725,0.0,top
TP43,40.25,-36.35,0.0,top
TP44,86.4,-40.6,0.0,top
TP45,89.9,-40.6,0.0,top
TP46,93.35,-40.6,0.0,top
TP47,39.31,-43.25,0.0,top
TP48,53.2,-78.2,0.0,top
TP49,117.91,-70.52,0.0,top
TP50,117.91,-73.02,0.0,top
TP51,117.91,-75.52,0.0,top
TP52,118.75,-47.84,0.0,top
TP6,109.5,-38.25,0.0,top
TP7,60.92,-44.5,180.0,top
TP8,76.83,-48.94,0.0,top
U1,67.14,-56.6,180.0,top
U10,108.02,-58.71,90.0,top
U11,108.17995,-83.815001,0.0,top
U12,108.13,-84.25,180.0,top
U13,79.37,-40.435,180.0,top
U14,112.36,-58.86,0.0,top
U15,85.9,-70.5,180.0,top
U2,42.62,-60.25,90.0,top
U3,42.04,-50.75,180.0,top
U4,57.8225,-73.165,90.0,top
U5,31.045,-75.015,270.0,top
U6,48.0,-38.79,270.0,top
U7,108.48,-71.33,0.0,top
U8,69.06,-88.7785,270.0,top
U9,71.63,-40.9085,90.0,top
Y1,63.63,-67.51,90.0,top
